Nome Olfazeta;Ispirato a:;Marca;Categoria;Cod. 15ml;Prezzo 15ml;Cod. 30ml;Prezzo 30ml;Cod. 70ml;Prezzo 70ml;Cod. 50ml;Prezzo 50ml;Genere;;;;;;;;;;;;;;
OPIUM;Opium;YSL;;T006;11.90 €;306;18.00 €;006;35.00 €;;;Donna;;;;;;;;;;;;;;
J'ADORE;J'adore;DIOR;;T007;11.90 €;307;18.00 €;007;35.00 €;;;Donna;;;;;;;;;;;;;;
ALIEN;Alien;THIERRY MUGLER;;T010;11.90 €;310;18.00 €;010;35.00 €;;;Donna;;;;;;;;;;;;;;
LIGHT BLUE;Light Blue;D&G;;T011;11.90 €;311;18.00 €;011;35.00 €;;;Donna;;;;;;;;;;;;;;
TO THE EDGE;Guilty;GUCCI;;T151W;11.90 €;3151W;18.00 €;151W;35.00 €;;;Donna;;;;;;;;;;;;;;
MANIFESTO;Manifesto;YSL;;T014;11.90 €;314;18.00 €;014;35.00 €;;;Donna;;;;;;;;;;;;;;
LADY MILLION;Lady Million;PACO RABANNE;;T019;11.90 €;319;18.00 €;019;35.00 €;;;Donna;;;;;;;;;;;;;;
HYPNOTIC POISON;Hypnotic Poison;DIOR;;T023;11.90 €;323;18.00 €;023;35.00 €;;;Donna;;;;;;;;;;;;;;
CHANEL N.5;Chanel N.5;CHANEL;;T024;11.90 €;324;18.00 €;024;35.00 €;;;Donna;;;;;;;;;;;;;;
FOR HER;For Her;NARCISO RODRIGUEZ;;T025;11.90 €;325;18.00 €;025;35.00 €;;;Donna;;;;;;;;;;;;;;
FLOWER;Flower;KENZO;;T026;11.90 €;326;18.00 €;026;35.00 €;;;Donna;;;;;;;;;;;;;;
TRESOR;Tresor;LANCOME;;T027;11.90 €;327;18.00 €;027;35.00 €;;;Donna;;;;;;;;;;;;;;
ANGEL;Angel;THIERRY MUGLER;;T028;11.90 €;328;18.00 €;028;35.00 €;;;Donna;;;;;;;;;;;;;;
L'EAU D'ISSEY;L'eau d'Issey;ISSEY MIYAKE;;T029;11.90 €;329;18.00 €;029;35.00 €;;;Donna;;;;;;;;;;;;;;
MISS DIOR CHERIE;Miss Dior Cherie;DIOR;;T039;11.90 €;339;18.00 €;039;35.00 €;;;Donna;;;;;;;;;;;;;;
HYPNOSE;Hypnose;LANCOME;;T040;11.90 €;340;18.00 €;040;35.00 €;;;Donna;;;;;;;;;;;;;;
ROSE DUST;Chloe;CHLOE;;T153W;11.90 €;3153W;18.00 €;153W;35.00 €;;;Donna;;;;;;;;;;;;;;
LA VIE EST BELLE;La vie est belle;LANCOME;;T042;11.90 €;342;18.00 €;042;35.00 €;;;Donna;;;;;;;;;;;;;;
LIAISON ROSE;Love Chloe;CHLOE;;T154W;11.90 €;3154W;18.00 €;154W;35.00 €;;;Donna;;;;;;;;;;;;;;
CRYSTAL NOIR;Crystal Noir;VERSACE;;T047;11.90 €;347;18.00 €;047;35.00 €;;;Donna;;;;;;;;;;;;;;
DOLCE;Dolce;D&G;;T049;11.90 €;349;18.00 €;049;35.00 €;;;Donna;;;;;;;;;;;;;;
COCO MADEMOISELLE;Coco Mademoiselle;CHANEL;;T051;11.90 €;351;18.00 €;051;35.00 €;;;Donna;;;;;;;;;;;;;;
NARCISO;Narciso;NARCISO RODRIGUEZ;;T053;11.90 €;353;18.00 €;053;35.00 €;;;Donna;;;;;;;;;;;;;;
BLACK OPIUM;Black Opium;YSL;;T055;11.90 €;355;18.00 €;055;35.00 €;;;Donna;;;;;;;;;;;;;;
ANGE OU DEMON;Ange ou Demon;GIVENCHY;;T056;11.90 €;356;18.00 €;056;35.00 €;;;Donna;;;;;;;;;;;;;;
OMNIA AMETHYSTE;Omnia Amethyste;BULGARI;;T057;11.90 €;357;18.00 €;057;35.00 €;;;Donna;;;;;;;;;;;;;;
UNBENDING WOMAN;Hugo;HUGO BOSS;;T156W;11.90 €;3156W;18.00 €;156W;35.00 €;;;Donna;;;;;;;;;;;;;;
OMNIA INDIAN;Omnia Indian;BULGARI;;T064;11.90 €;364;18.00 €;064;35.00 €;;;Donna;;;;;;;;;;;;;;
OLYMPEA;Olympea;PACO RABANNE;;T067;11.90 €;367;18.00 €;067;35.00 €;;;Donna;;;;;;;;;;;;;;
THE ONE;The One;D&G;;T070;11.90 €;370;18.00 €;070;35.00 €;;;Donna;;;;;;;;;;;;;;
ALLURE;Allure;CHANEL;;T071;11.90 €;371;18.00 €;071;35.00 €;;;Donna;;;;;;;;;;;;;;
ACQUA DI GIOIA;Acqua di Gioia;ARMANI;;T076;11.90 €;376;18.00 €;076;35.00 €;;;Donna;;;;;;;;;;;;;;
WILD BLOOM;Flora;GUCCI;;T158W;11.90 €;3158W;18.00 €;158W;35.00 €;;;Donna;;;;;;;;;;;;;;
SI;Si;ARMANI;;T080;11.90 €;380;18.00 €;080;35.00 €;;;Donna;;;;;;;;;;;;;;
CLASSIQUE;Classique Essence;JPG;;T081;11.90 €;381;18.00 €;081;35.00 €;;;Donna;;;;;;;;;;;;;;
